Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
284,jalayAna,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,149,0.0030395137,0.0030395137,0.0040021946104086695,99,0.0,0,0.0028517556991628206
285,shakti,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,150,0.0030395137,0.0030395137,0.0040021946104086695,16,0.0,0,0.0028517556991628206
286,chApa,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,151,0.0030395137,0.0030395137,0.0040021946104086695,131,0.0,0,0.0028517556991628206
287,jaMgaloM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,152,0.0,0.0,5.781744264857095E-4,146,0.0,0,0.0
288,teMduA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,153,0.0,0.0,5.781744264857095E-4,147,0.0,0,0.0
289,uddeshya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,154,0.0,0.0,5.781744264857095E-4,148,0.0,0,0.0
290,mAnyatA,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
291,dAsatA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,155,0.0,0.0,5.781744264857095E-4,149,0.0,0,0.0
292,ghoShaNA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,156,0.0,0.0,5.781744264857095E-4,150,0.0,0,0.0
293,cama.DI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,157,0.0,0.0,5.781744264857095E-4,151,0.0,0,0.0
294,kaMpanI,3.0,2.0,0.0,2,0,2,2.0,2.0,0.0,142,0.0045592706,0.0045592706,0.0024674749212007085,1,1.0,1,0.11648773946960812
